name,state_or_private,Country
SpaceX,Private,USA
CASC,State,China
Roscosmos,State,Russia
ULA,Private,USA
JAXA,State,Japan
Northrop,Private,USA
ExPace,Private,China
IAI,State,Israel
Rocket Lab,Private,USA
Virgin Orbit,Private,USA
VKS RF,State,Russia
MHI,Private,Japan
IRGC,State,Iran
Arianespace,Private,France
ISA,State,Iran
Blue Origin,Private,USA
ISRO,State,India
Exos,Private,USA
ILS,Private,USA
i-Space,Private,China
OneSpace,Private,China
Landspace,Private,China
Eurockot,Private,Germany
Land Launch,Private,Switzerland
CASIC,State,China
KCST,State,North Korea
Sandia,State,USA
Kosmotras,Private,Russia
Khrunichev,State,Russia
Sea Launch,Private,Switzerland
KARI,State,South Korea
ESA,State,Europe
NASA,State,USA
Boeing,Private,USA
ISAS,State,Japan
SRC,State,Russia
MITT,State,Russia
Lockheed,Private,USA
AEB,State,Brazil
Starsem,Private,France
RVSN USSR,State,Russia
EER,Private,USA
General Dynamics,Private,USA
Martin Marietta,Private,USA
Yuzhmash,State,Ukraine
Douglas,Private,USA
ASI,State,Italy
US Air Force,State,USA
CNES,State,France
CECLES,State,Europe
RAE,Private,USA
UT,State,USA
OKB-586,Private,Ukraine
AMBA,State,USA
Arm??e de l'Air,State,France
US Navy,State,USA
